top - 16:26:32 up 3 days, 10:14,  1 user,  load average: 0.59, 0.60, 0.44
Tasks: 351 total,   2 running, 278 sleeping,   3 stopped,   0 zombie
%Cpu(s): 33.3 us, 10.0 sy,  0.0 ni, 56.0 id,  0.5 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8082552 total,   133808 free,  4978888 used,  2969856 buff/cache
KiB Swap:  2097148 total,  1581148 free,   516000 used.  2686732 avail Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
11478 bhaskar   20   0    4628    852    784 S   0.0  0.0   0:00.00 sh
12649 root      20   0  265408   2784   1732 S   0.0  0.0   0:00.01 gdm-sessio+
15884 bhaskar   20   0  100420   1288   1004 S   0.0  0.0   0:00.00 gpg-agent
15886 bhaskar   20   0 1524244  64176  23696 S   0.0  0.8   5:34.72 Discord
16159 bhaskar   20   0  328744   4512   1436 S   0.0  0.1   0:00.14 Discord
16170 bhaskar   20   0   80084   3320   2608 S   0.0  0.0   0:00.12 gconfd-2
16185 bhaskar   20   0  532152 104248  31504 S   0.0  1.3   1:46.67 Discord
16228 bhaskar   20   0 2132312 250288  85164 S   0.0  3.1  24:58.52 Discord
16546 bhaskar   20   0 1041012 139352  68532 S   0.0  1.7   9:20.60 chrome
18621 bhaskar   20   0 1097956 196016  69720 S   0.0  2.4  69:00.58 chrome
21878 bhaskar   20   0  876504 126804  42136 S   0.0  1.6   0:45.67 chrome
22016 bhaskar   20   0  883780 126484  71720 S   0.0  1.6   5:52.23 chrome
22574 bhaskar   20   0  836736 128432  66940 S   0.0  1.6   0:14.70 chrome
22902 bhaskar   20   0  433536   4352   3024 S   0.0  0.1   0:00.42 zeitgeist-+
22918 bhaskar   20   0  326764   6124   3508 S   0.0  0.1   0:00.22 zeitgeist-+
23306 bhaskar   20   0  473028  10672   2344 S   0.0  0.1   0:00.63 snap
24169 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 xfsalloc
24170 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 xfs_mru_ca+
24180 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsIO
24181 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
24182 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
24183 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
24184 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
24185 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
24186 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
24187 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
24188 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
24189 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsSync
25121 root       0 -20       0      0      0 I   0.0  0.0   0:10.54 kworker/u1+
25954 postgres  20   0  326724  14996  13052 S   0.0  0.2   0:01.39 postgres
25956 postgres  20   0  326724   4208   2236 S   0.0  0.1   0:00.03 postgres
25957 postgres  20   0  326724   2644    704 S   0.0  0.0   0:01.17 postgres
25958 postgres  20   0  326724   7356   5392 S   0.0  0.1   0:01.14 postgres
25959 postgres  20   0  327160   4048   1860 S   0.0  0.1   0:00.77 postgres
25960 postgres  20   0  181784   2172    232 S   0.0  0.0   0:00.93 postgres
25961 postgres  20   0  327016   2836    752 S   0.0  0.0   0:00.05 postgres
26315 root      20   0  107680   7992   6756 S   0.0  0.1   0:00.00 cupsd
26316 root      20   0  303644  11176   9648 S   0.0  0.1   0:00.40 cups-brows+
27272 bhaskar   20   0  781680  91320  65440 S   0.0  1.1   0:15.96 chrome
28675 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop37
28714 root       0 -20       0      0      0 S   0.0  0.0   0:00.04 loop38
29371 bhaskar   20   0  953752 124492  76196 S   0.0  1.5   0:51.78 chrome
29570 root      20   0  783360   3180   2644 S   0.0  0.0   0:05.21 canonical-+
32725 bhaskar   20   0  805428 100724  67804 S   0.0  1.2   0:06.54 chrome
