top - 16:26:32 up 3 days, 10:14,  1 user,  load average: 0.59, 0.60, 0.44
Tasks: 351 total,   2 running, 278 sleeping,   3 stopped,   0 zombie
%Cpu(s): 33.3 us, 10.0 sy,  0.0 ni, 56.0 id,  0.5 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8082552 total,   133808 free,  4978888 used,  2969856 buff/cache
KiB Swap:  2097148 total,  1581148 free,   516000 used.  2686732 avail Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  220 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_0
  221 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  222 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_1
  223 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  224 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_2
  225 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
  226 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_3
  227 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
  228 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_4
  229 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_5
  230 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_5
  242 root      20   0       0      0      0 S   0.0  0.0   0:00.00 nvidia-mod+
  247 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  248 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  249 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  250 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  272 root       0 -20       0      0      0 I   0.0  0.0   0:00.18 kworker/2:+
  273 root       0 -20       0      0      0 I   0.0  0.0   0:00.03 kworker/7:+
  293 root      20   0       0      0      0 S   0.0  0.0   0:12.19 jbd2/sda1-8
  294 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  327 root       0 -20       0      0      0 I   0.0  0.0   0:04.23 kworker/1:+
  331 root       0 -20       0      0      0 I   0.0  0.0   0:01.02 kworker/0:+
  335 root      19  -1  533088 312972 311592 S   0.0  3.9   2:24.89 systemd-jo+
  346 root       0 -20       0      0      0 I   0.0  0.0   0:00.03 kworker/5:+
  353 root       0 -20       0      0      0 I   0.0  0.0   0:00.04 kworker/3:+
  354 root       0 -20       0      0      0 I   0.0  0.0   0:00.11 kworker/4:+
  356 root       0 -20       0      0      0 I   0.0  0.0   0:00.08 kworker/6:+
  371 root      20   0   47316   3016   1480 S   0.0  0.0   0:00.97 systemd-ud+
  562 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kmemstick
  582 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cfg80211
  637 bhaskar   20   0  804656 100876  66364 S   0.0  1.2   0:20.98 chrome
  689 root      20   0       0      0      0 S   0.0  0.0   0:00.00 UVM global+
  690 root      20   0       0      0      0 S   0.0  0.0   0:00.00 UVM Tools +
  710 root       0 -20       0      0      0 S   0.0  0.0   0:00.61 loop0
  712 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop1
  714 root       0 -20       0      0      0 S   0.0  0.0   0:01.09 loop2
  717 root       0 -20       0      0      0 S   0.0  0.0   0:00.20 loop3
  719 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop4
  720 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop5
  722 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop6
  724 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop7
  726 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop8
  733 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop9
  736 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop10
  738 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop11
  743 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop13
  744 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop14
  755 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop15
  757 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop16
  761 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop17
  766 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop18
  774 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop19
  775 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop20
  776 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop21
  777 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop22
  778 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop23
  779 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop24
  781 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop25
  785 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop26
  786 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop27
  787 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop28
  791 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop29
  792 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop30
  793 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop31
  795 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop32
  804 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop33
  806 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop34
  814 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop35
  815 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop36
  818 systemd+  20   0   71884   3548   2040 S   0.0  0.0   0:06.80 systemd-re+
  820 systemd+  20   0  146096    760    588 S   0.0  0.0   0:00.35 systemd-ti+
  945 root      20   0   36756   2452   1956 S   0.0  0.0   0:03.12 bluetoothd
  948 root      20   0  427332   2204   1400 S   0.0  0.0   0:00.23 ModemManag+
  949 avahi     20   0   47260   1188    964 S   0.0  0.0   0:02.38 avahi-daem+
  950 root      20   0  177632   1740   1740 S   0.0  0.0   0:00.06 networkd-d+
  953 root      20   0    4552    876    716 S   0.0  0.0   0:09.52 acpid
  954 root      20   0   38428    896    796 S   0.0  0.0   0:00.31 cron
  956 message+  20   0   51860   3400   1180 S   0.0  0.0   0:34.15 dbus-daemon
  958 root      20   0  642104   9108   6064 S   0.0  0.1   0:49.34 NetworkMan+
  959 root      20   0   45104   1744   1240 S   0.0  0.0   0:41.10 wpa_suppli+
  961 root      20   0 1151844  14108   5424 S   0.0  0.2   0:26.17 snapd
  963 root      20   0  186976   1280   1032 S   0.0  0.0   0:11.04 thermald
  964 root      20   0  294724   2680   2172 S   0.0  0.0   0:06.83 accounts-d+
  965 syslog    20   0  263036   2160    964 S   0.0  0.0   0:07.52 rsyslogd
  969 root      20   0  110480   1068    972 S   0.0  0.0   0:11.61 irqbalance
  971 root      20   0   70716   1724   1356 S   0.0  0.0   0:02.89 systemd-lo+
  974 root      20   0  504096   4596   1908 S   0.0  0.1   0:12.28 udisksd
 1013 root      20   0  303424   5572   2712 S   0.0  0.1   0:05.99 polkitd
 1046 avahi     20   0   47076     40      0 S   0.0  0.0   0:00.00 avahi-daem+
 1102 mongodb   20   0 1021564  12988   2360 S   0.0  0.2   8:31.66 mongod
 1116 root      20   0  308044   2324   1608 S   0.0  0.0   0:00.05 gdm3
 1143 root      20   0  419584   4220   3068 S   0.0  0.1   0:00.09 gdm-sessio+
 1145 root      20   0  140644    288    284 S   0.0  0.0   0:00.00 nginx
 1146 www-data  20   0  143320    624    564 S   0.0  0.0   0:00.00 nginx
 1147 www-data  20   0  143320    564    512 S   0.0  0.0   0:00.00 nginx
 1148 www-data  20   0  143320    592    544 S   0.0  0.0   0:00.00 nginx
 1149 www-data  20   0  143320    608    560 S   0.0  0.0   0:00.00 nginx
 1150 www-data  20   0  143320    612    564 S   0.0  0.0   0:00.00 nginx
 1151 www-data  20   0  143320    592    544 S   0.0  0.0   0:00.00 nginx
 1152 www-data  20   0  143320    592    540 S   0.0  0.0   0:00.00 nginx
 1153 www-data  20   0  143320    580    528 S   0.0  0.0   0:00.00 nginx
 1155 debian-+  20   0  109768  40948   5796 S   0.0  0.5   2:28.44 tor
 1160 bhaskar   20   0   77264   4416   3228 S   0.0  0.1   0:00.91 systemd
 1161 bhaskar   20   0  114132    280      0 S   0.0  0.0   0:00.00 (sd-pam)
 1180 bhaskar   20   0  445016  12768   3168 S   0.0  0.2   0:20.80 gnome-keyr+
 1184 bhaskar   20   0  212124   1848   1648 S   0.0  0.0   0:00.01 gdm-x-sess+
 1194 root     -51   0       0      0      0 S   0.0  0.0  23:14.14 irq/34-nvi+
 1197 nvidia-+  20   0   17316    344    344 S   0.0  0.0   0:00.00 nvidia-per+
 1212 bhaskar   20   0   55296   7224   1624 S   0.0  0.1   0:10.82 dbus-daemon
 1301 bhaskar   20   0  567796   5060   3500 S   0.0  0.1   0:01.10 gnome-sess+
 1395 bhaskar   20   0   11304     40      0 S   0.0  0.0   0:00.62 ssh-agent
 1397 bhaskar   20   0  349304   1860   1764 S   0.0  0.0   0:00.01 at-spi-bus+
 1402 bhaskar   20   0   50052   1060    728 S   0.0  0.0   0:05.92 dbus-daemon
 1404 bhaskar   20   0  220772   2100   1804 S   0.0  0.0   0:27.02 at-spi2-re+
 1427 root      20   0  322616   4344   3068 S   0.0  0.1   0:03.12 upowerd
 1453 bhaskar   20   0  365792   2016   1476 S   0.0  0.0   0:00.11 gvfsd
 1458 bhaskar   20   0  416108   1324   1188 S   0.0  0.0   0:00.01 gvfsd-fuse
 1469 bhaskar    9 -11 2241968   9832   7148 S   0.0  0.1  11:01.32 pulseaudio
 1470 rtkit     21   1  183504   1040    952 S   0.0  0.0   0:01.59 rtkit-daem+
 1479 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 krfcommd
 1493 bhaskar   20   0  365944   9068   2508 S   0.0  0.1   2:24.54 ibus-daemon
 1497 bhaskar   20   0  280756   2084   1864 S   0.0  0.0   0:00.00 ibus-dconf
 1499 bhaskar   20   0  344596   8644   6100 S   0.0  0.1   0:41.89 ibus-x11
 1504 bhaskar   20   0  278552   2172   1916 S   0.0  0.0   0:00.22 ibus-portal
 1512 bhaskar   20   0  689772   3500   2628 S   0.0  0.0   0:00.09 gnome-shel+
 1518 bhaskar   20   0 1372160   4848   3392 S   0.0  0.1   0:00.15 evolution-+
 1526 root      20   0  296804   2380   2068 S   0.0  0.0   0:00.07 boltd
